,Titel,URL,Parkplaetze
0,FEED Parkleitsystem Stadt Zürich,http://www.plszh.ch/plsFeed/rss,http://www.plszh.ch/plsFeed/rss?type=rss_0.92 | rss_0.93 | rss_0.94 | rss_1.0 | rss_2.0 (=default) | atom_0.3 | atom_1.0
1,Parkgarage am Central / Seilergraben,http://www.plszh.ch/plsNeu/parkhaus/central.jsp?pid=central,open /    0
2,Parkhaus Accu / Otto-Schütz-Weg,http://www.plszh.ch/plsNeu/parkhaus/accu.jsp?pid=accu,open /  129
3,Parkhaus Albisriederplatz / Badenerstrasse 380,http://www.plszh.ch/plsNeu/parkhaus/albisriederplatz.jsp?pid=albisriederplatz,open /   56
4,Parkhaus Bleicherweg / Beethovenstrasse 35,http://www.plszh.ch/plsNeu/parkhaus/bleicherweg.jsp?pid=bleicherweg,open /   11
5,Parkhaus Center Eleven / Sophie-Täuber-Strasse 4,http://www.plszh.ch/plsNeu/parkhaus/center_11.jsp?pid=center_11,open /  143
6,Parkhaus City Parking / Gessnerallee 14,http://www.plszh.ch/plsNeu/parkhaus/cp.jsp?pid=cp,open /  132
7,Parkhaus Cityport / Affolternstrasse 56,http://www.plszh.ch/plsNeu/parkhaus/cityport.jsp?pid=cityport,open /   29
8,Parkhaus Crowne Plaza / Badenerstrasse 420,http://www.plszh.ch/plsNeu/parkhaus/crowne_plaza.jsp?pid=crowne_plaza,open /  160
9,Parkhaus Dorflinde / Schwamendingenstrasse 31,http://www.plszh.ch/plsNeu/parkhaus/dorflinde.jsp?pid=dorflinde,open /   35
10,Parkhaus Feldegg / Riesbachstrasse 7,http://www.plszh.ch/plsNeu/parkhaus/feldegg.jsp?pid=feldegg,open /   52
11,Parkhaus Globus / Löwenstrasse 50,http://www.plszh.ch/plsNeu/parkhaus/globus.jsp?pid=globus,open /   26
12,Parkhaus Hardau II / Bullingerstrasse 73,http://www.plszh.ch/plsNeu/parkhaus/hardau.jsp?pid=hardau,open /   97
13,Parkhaus Hauptbahnhof / Sihlquai 41,http://www.plszh.ch/plsNeu/parkhaus/hb.jsp?pid=hb,open /   82
14,Parkhaus Hohe Promenade / Rämistrasse 22a,http://www.plszh.ch/plsNeu/parkhaus/promenade.jsp?pid=promenade,open /  305
15,Parkhaus Jelmoli / Steinmühleplatz 1,http://www.plszh.ch/plsNeu/parkhaus/jelmoli.jsp?pid=jelmoli,open /   24
16,Parkhaus Jungholz / Jungholzstrasse 19,http://www.plszh.ch/plsNeu/parkhaus/jungholz.jsp?pid=jungholz,open /   88
17,Parkhaus Max-Bill-Platz / Armin-Bollinger-Weg,http://www.plszh.ch/plsNeu/parkhaus/max_bill_platz.jsp?pid=max_bill_platz,open /   80
18,Parkhaus Messe Zürich AG / Andreasstrasse 65,http://www.plszh.ch/plsNeu/parkhaus/messe.jsp?pid=messe,open /  999
19,Parkhaus Nordhaus / Siewerdtstrasse 8,http://www.plszh.ch/plsNeu/parkhaus/nordhaus.jsp?pid=nordhaus,open /   52
20,Parkhaus Octavo / Brown-Boveri-Strasse 2,http://www.plszh.ch/plsNeu/parkhaus/octavo.jsp?pid=octavo,open /  109
21,Parkhaus Opéra / Schillerstrasse 5,http://www.plszh.ch/plsNeu/parkhaus/opera.jsp?pid=opera,open /   82
22,Parkhaus P West / Förrlibuckstrasse 151,http://www.plszh.ch/plsNeu/parkhaus/p_west.jsp?pid=p_west,open /  264
23,Parkhaus Park Hyatt / Beethovenstrasse 21,http://www.plszh.ch/plsNeu/parkhaus/park_hyatt.jsp?pid=park_hyatt,open /  117
24,Parkhaus Parkside / Sophie-Täuber-Strasse 10,http://www.plszh.ch/plsNeu/parkhaus/parkside.jsp?pid=parkside,open /    0
25,Parkhaus Pfingstweid / Pfingstweidstrasse 1,http://www.plszh.ch/plsNeu/parkhaus/pfingstweid.jsp?pid=pfingstweid,open /   83
26,Parkhaus Stampfenbach / Niklausstrasse 1,http://www.plszh.ch/plsNeu/parkhaus/stampfenbach.jsp?pid=stampfenbach,open /    1
27,Parkhaus Talgarten / Nüschelerstrasse 31,http://www.plszh.ch/plsNeu/parkhaus/talgarten.jsp?pid=talgarten,open /   11
28,Parkhaus USZ Nord / Frauenklinikstrasse,http://www.plszh.ch/plsNeu/parkhaus/unispital_nord.jsp?pid=unispital_nord,open /   25
29,Parkhaus Uni Irchel / Winterthurerstrasse 181,http://www.plszh.ch/plsNeu/parkhaus/uni_irchel.jsp?pid=uni_irchel,open /  485
30,Parkhaus Urania / Uraniastrasse 3,http://www.plszh.ch/plsNeu/parkhaus/urania.jsp?pid=urania,open /  162
31,Parkhaus Utoquai / Färberstrasse 6,http://www.plszh.ch/plsNeu/parkhaus/utoquai.jsp?pid=utoquai,open /   25
32,Parkhaus Züri 11 Shopping / Nansenstrasse 5/7,http://www.plszh.ch/plsNeu/parkhaus/zueri11.jsp?pid=zueri11,open /   14
33,Parkhaus Zürichhorn / Dufourstrasse 142,http://www.plszh.ch/plsNeu/parkhaus/zuerichhorn.jsp?pid=zuerichhorn,open /   36
34,Parkplatz Eisfeld / Thurgauerstrasse 54,http://www.plszh.ch/plsNeu/parkhaus/eisfeld.jsp?pid=eisfeld,open /   61
35,Parkplatz Theater 11 / Dörfli-/Thurgauerstrasse,http://www.plszh.ch/plsNeu/parkhaus/theater_11.jsp?pid=theater_11,open /  142
36,Parkplatz USZ Süd / Gloriastrasse,http://www.plszh.ch/plsNeu/parkhaus/unispital_sued.jsp?pid=unispital_sued,open /    3
37,Puls 5 Parkgarage / Giessereistrasse 18,http://www.plszh.ch/plsNeu/parkhaus/puls5.jsp?pid=puls5,open /   17
