GEBIETS_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Erlenbach,1408696.0,-2350345.0,-528556.0,-685090.0,1863332.0,1425346.0,-526399.0,1082846.0,5958277.0,4962168.0,9369763.0,7815048.0,-1067923.0,-464324.0,1636537.0,-9317700.0,-3376204.0,6117411.0,9749572.0,9319344.0,-1786915.0,-2793769.0,1377096.0,8915236.0,2121895.0,-298389.0,-3747165.0,3344222.0,2512181.0
Herrliberg,1049236.0,-541285.0,-536646.0,448821.0,5912615.0,634906.0,-108462.0,4679435.0,7361388.0,8605867.0,4172952.0,-1013850.0,-4020868.0,-10126259.0,-6176648.0,4403563.0,-1592142.0,8243795.0,10212963.0,11343448.0,238121.0,3229362.0,2389497.0,-4638438.0,-219495.0,3147891.0,900182.0,15266808.0,1506158.0
Hombrechtikon,4827687.0,993770.0,-1510410.0,299800.0,319603.0,-1157703.0,-1276107.0,61452.0,-1209890.0,1573375.0,799877.0,643765.0,-1328159.0,-271322.0,370101.0,-309720.0,-60374.0,-1064589.0,1856456.0,2067768.0,1520160.0,4263373.0,-2992209.0,-4274045.0,1396541.0,-273733.0,-627230.0,-6574636.0,4253611.0
Küsnacht,10954372.0,-4940106.0,-2239937.0,4007714.0,11781974.0,2039404.0,7308394.0,11516798.0,15069262.0,22769318.0,37874819.0,-13297382.0,-4370837.0,-17791762.0,15716198.0,4542251.0,-9178440.0,11541242.0,18861462.0,23801552.0,-1591835.0,-5004424.0,-5005915.0,1314323.0,-4683144.0,-1662513.0,4020304.0,1750964.0,11576638.0
Männedorf,-4665.0,-1180563.0,-87360.0,150170.0,44828.0,500559.0,729316.0,-992605.0,45107.0,3484305.0,3406257.0,1250576.0,6894930.0,-3086234.0,-2018141.0,918688.0,2004535.0,3654483.0,3123733.0,2719550.0,237893.0,-1926384.0,481234.0,1679551.0,2028557.0,1493457.0,1889102.0,3031459.0,193713.0
Meilen,-9832249.0,-9295250.0,6286513.0,3347413.0,9412669.0,3258391.0,4927998.0,-13695144.0,1523744.0,11364572.0,5215967.0,8132157.0,-12381141.0,-7255737.0,-1628340.0,917201.0,6288003.0,-681912.0,5828105.0,8064529.0,6675079.0,4764476.0,5699403.0,6844105.0,6043309.0,1705575.0,-2335129.0,-3747537.0,-4758926.0
Oetwil,699557.0,-864832.0,-89787.0,-171448.0,-24477.0,-209696.0,211099.0,14116.0,-642859.0,197135.0,254612.0,-103555.0,597372.0,829109.0,380896.0,543136.0,-221596.0,1352345.0,323498.0,-197661.0,502327.0,519409.0,366968.0,468926.0,807355.0,427405.0,-24972.0,184365.0,711724.0
Stäfa,-2137704.0,-1055492.0,1017665.0,-382925.0,2436520.0,2580527.0,-5145977.0,9764172.0,8421406.0,6471705.0,9133823.0,5074768.0,4069078.0,-322509.0,-1723092.0,-1488065.0,-661149.0,-1919070.0,3205846.0,-18551662.0,3480454.0,1590907.0,-4442205.0,3534073.0,4988297.0,5645003.0,-1140254.0,6287260.0,12049683.0
Uetikon,-701967.0,-580070.0,-495005.0,-99111.0,320420.0,2202212.0,1613250.0,844544.0,626704.0,1968344.0,-828862.0,3454907.0,872179.0,-5538864.0,-2867185.0,-4772190.0,-870278.0,1726837.0,3998667.0,2257177.0,542157.0,714239.0,-593165.0,-1142893.0,-1310395.0,936786.0,11867129.0,647349.0,1015877.0
Zollikon,8159625.0,-1952680.0,3058126.0,3384129.0,2606911.0,3936677.0,7857351.0,7064756.0,14566075.0,-24947448.0,20209033.0,7405956.0,6556207.0,-5938027.0,-16641577.0,-9169207.0,-6115314.0,13824575.0,15708690.0,-11803005.0,-11043318.0,4031262.0,-2129220.0,7383327.0,7897307.0,12164992.0,6999116.0,6900281.0,9375787.0
Zumikon,2632071.0,-3302297.0,683417.0,-1088450.0,640906.0,1758964.0,2660413.0,2529599.0,5681626.0,2807356.0,3311263.0,2206005.0,1688740.0,-9949539.0,582232.0,-975075.0,-2728226.0,3021554.0,5019353.0,641969.0,-6008191.0,5580271.0,3563572.0,876232.0,-2622477.0,-1257901.0,-2213124.0,3256529.0,4110384.0
