,Bezirk Horgen,Bezirk Meilen
2019,0.7577777777777778,1.7263636363636363
2018,0.7977777777777778,2.060909090909091
2017,0.7822222222222224,1.9127272727272726
2016,0.7244444444444444,1.7845454545454544
2015,0.7455555555555555,1.5945454545454545
2014,0.78,1.3445454545454545
2013,0.6433333333333334,1.1354545454545453
2012,0.5644444444444444,1.1009090909090908
2011,0.4977777777777777,1.742727272727273
2010,0.5333333333333333,1.4154545454545453
2009,0.4255555555555556,1.4227272727272726
2008,0.3988888888888889,1.2618181818181817
2007,0.6311111111111111,1.5554545454545454
2006,0.59,1.5999999999999999
2005,0.36333333333333334,1.1354545454545453
2004,0.3655555555555556,0.7245454545454545
2003,0.24111111111111116,0.6000000000000001
2002,0.16666666666666666,0.6072727272727273
2001,0.2088888888888889,0.889090909090909
2000,0.5177777777777778,1.1436363636363636
1999,0.8555555555555556,1.5627272727272727
1998,0.8711111111111111,1.7145454545454546
1997,0.68,1.4700000000000002
1996,0.5988888888888889,1.0981818181818181
1995,0.4188888888888889,1.0499999999999998
1994,0.4477777777777777,0.9727272727272727
1993,0.5399999999999999,0.5281818181818182
1992,0.3055555555555556,0.43454545454545457
1991,0.23888888888888887,0.39909090909090905
1990,0.07222222222222223,0.15181818181818182
